Unnamed: 0.1,Unnamed: 0,sentence,Option A,Option B,OP1,OP2,gold_ans,gold_scope_label,OP1_type,OP2_type,OP_rel,relation,comb
0,1.0,A book is given to each student in the class.,"In total, more than one book is given.","In total, one book is given.",a,each,A,inverse,indefinite,universal,unimported,unimported,3
1,2.0,A book is given to each student in the class.,"In total, one book is given.","In total, more than one book is given.",a,each,B,inverse,indefinite,universal,unimported,unimported,3
2,3.0,A new episode is released every week.,Different episodes are released each week.,The same episode is released every week.,a,every,A,inverse,indefinite,universal,unimported,unimported,3
3,4.0,A new episode is released every week.,The same episode is released every week.,Different episodes are released each week.,a,every,B,inverse,indefinite,universal,unimported,unimported,3
4,5.0,A gift is given to each employee at the end of the year.,"In total, more than one gift is given.","In total, one gift is given.",a,each,A,inverse,indefinite,universal,unimported,unimported,3
5,6.0,A gift is given to each employee at the end of the year.,"In total, one gift is given.","In total, more than one gift is given.",a,each,B,inverse,indefinite,universal,unimported,unimported,3
6,7.0,A different dish is served each day of the week.,There are more than two dishes served in total.,There are exactly two dishes served in total.,a,each,A,inverse,indefinite,universal,unimported,unimported,3
7,8.0,A different dish is served each day of the week.,There are exactly two dishes served in total.,There are more than two dishes served in total.,a,each,B,inverse,indefinite,universal,unimported,unimported,3
8,9.0,A new song is played every hour on the radio.,Different songs are played each hour.,The same song is played every hour.,a,every,A,inverse,indefinite,universal,unimported,unimported,3
9,10.0,A new song is played every hour on the radio.,The same song is played every hour.,Different songs are played each hour.,a,every,B,inverse,indefinite,universal,unimported,unimported,3
10,11.0,A new flavor is introduced every month.,Different flavors are introduced in different months.,The same flavor is introduced every month.,a,every,A,inverse,indefinite,universal,unimported,unimported,3
11,12.0,A new flavor is introduced every month.,The same flavor is introduced every month.,Different flavors are introduced in different months.,a,every,B,inverse,indefinite,universal,unimported,unimported,3
14,15.0,A new exhibit is displayed every week.,Different exhibits are displayed in different weeks.,The same exhibit is displayed every week.,a,every,A,inverse,indefinite,universal,unimported,unimported,3
15,16.0,A new exhibit is displayed every week.,The same exhibit is displayed every week.,Different exhibits are displayed in different weeks.,a,every,B,inverse,indefinite,universal,unimported,unimported,3
18,19.0,A piece of candy is given to each child at the event.,"In total, more than one piece of candy is given.","In total, one piece of candy is given.",a,each,A,inverse,indefinite,universal,unimported,unimported,3
19,20.0,A piece of candy is given to each child at the event.,"In total, one piece of candy is given.","In total, more than one piece of candy is given.",a,each,B,inverse,indefinite,universal,unimported,unimported,3
24,25.0,A snack is provided to each participant in the workshop.,"In total, more than one snack is provided.","In total, one snack is provided.",a,each,A,inverse,indefinite,universal,unimported,unimported,3
25,26.0,A snack is provided to each participant in the workshop.,"In total, one snack is provided.","In total, more than one snack is provided.",a,each,B,inverse,indefinite,universal,unimported,unimported,3
26,27.0,A newsletter is sent to each subscriber every month.,"In total, more than one newsletter is sent.","In total, one newsletter is sent.",a,each,A,inverse,indefinite,universal,unimported,unimported,3
27,28.0,A newsletter is sent to each subscriber every month.,"In total, one newsletter is sent.","In total, more than one newsletter is sent.",a,each,B,inverse,indefinite,universal,unimported,unimported,3
28,29.0,A new topic is covered every week in the course.,Different topics are covered in different weeks.,The same topic is covered every week.,a,every,A,inverse,indefinite,universal,unimported,unimported,3
29,30.0,A new topic is covered every week in the course.,The same topic is covered every week.,Different topics are covered in different weeks.,a,every,B,inverse,indefinite,universal,unimported,unimported,3
32,33.0,The chef prepares exactly three dishes for each table.,All tables receive the same three dishes,Not all tables receive the same three dishes,exactly three,each,B,inverse,number,universal,unimported,unimported,3
33,34.0,The chef prepares exactly three dishes for each table.,Not all tables receive the same three dishes,All tables receive the same three dishes,exactly three,each,A,inverse,number,universal,unimported,unimported,3
34,35.0,Exactly two gifts are given to each guest.,All guests receive the same two gifts,Not all guests receive the same two gifts,exactly two,each,B,inverse,number,universal,unimported,unimported,3
35,36.0,Exactly two gifts are given to each guest.,Not all guests receive the same two gifts,All guests receive the same two gifts,exactly two,each,A,inverse,number,universal,unimported,unimported,3
36,37.0,The artist paints exactly one mural on each wall.,All walls have the same mural,Not all walls have the same mural,exactly one,each,B,inverse,number,universal,unimported,unimported,3
37,38.0,The artist paints exactly one mural on each wall.,Not all walls have the same mural,All walls have the same mural,exactly one,each,A,inverse,number,universal,unimported,unimported,3
38,39.0,Exactly four cookies are placed in each box.,All boxes contain the same four cookies,Not all boxes contain the same four cookies,exactly four,each,B,inverse,number,universal,unimported,unimported,3
39,40.0,Exactly four cookies are placed in each box.,Not all boxes contain the same four cookies,All boxes contain the same four cookies,exactly four,each,A,inverse,number,universal,unimported,unimported,3
40,41.0,The instructor assigns exactly one project to each student.,All students receive the same project,Not all students receive the same project,exactly one,each,B,inverse,number,universal,unimported,unimported,3
41,42.0,The instructor assigns exactly one project to each student.,Not all students receive the same project,All students receive the same project,exactly one,each,A,inverse,number,universal,unimported,unimported,3
42,43.0,Exactly three books are given to each participant.,All participants receive the same three books,Not all participants receive the same three books,exactly three,each,B,inverse,number,universal,unimported,unimported,3
43,44.0,Exactly three books are given to each participant.,Not all participants receive the same three books,All participants receive the same three books,exactly three,each,A,inverse,number,universal,unimported,unimported,3
44,45.0,The manager allocates exactly two hours to each task.,All tasks take the same two hours,Not all tasks take the same two hours,exactly two,each,A,inverse,number,universal,unimported,unimported,3
45,46.0,The manager allocates exactly two hours to each task.,Not all tasks take the same two hours,All tasks take the same two hours,exactly two,each,B,inverse,number,universal,unimported,unimported,3
46,47.0,Exactly one flower is planted in each pot.,All pots have the same flower,Not all pots have the same flower,exactly one,each,B,inverse,number,universal,unimported,unimported,3
47,48.0,Exactly one flower is planted in each pot.,Not all pots have the same flower,All pots have the same flower,exactly one,each,A,inverse,number,universal,unimported,unimported,3
48,49.0,The musician plays exactly one song for each audience.,All audiences hear the same song,Not all audiences hear the same song,exactly one,each,B,inverse,number,universal,unimported,unimported,3
49,50.0,The musician plays exactly one song for each audience.,Not all audiences hear the same song,All audiences hear the same song,exactly one,each,A,inverse,number,universal,unimported,unimported,3
50,51.0,Exactly two paintings are displayed in each gallery.,All galleries display the same two paintings,Not all galleries display the same two paintings,exactly two,each,B,inverse,number,universal,unimported,unimported,3
51,52.0,Exactly two paintings are displayed in each gallery.,Not all galleries display the same two paintings,All galleries display the same two paintings,exactly two,each,A,inverse,number,universal,unimported,unimported,3
60,61.0,The instructor gives exactly two examples for each concept.,All concepts have the same two examples,Not all concepts have the same two examples,exactly two,each,B,inverse,number,universal,unimported,unimported,3
61,62.0,The instructor gives exactly two examples for each concept.,Not all concepts have the same two examples,All concepts have the same two examples,exactly two,each,A,inverse,number,universal,unimported,unimported,3
68,69.0,The instructor assigns exactly one exercise to each participant.,All participants receive the same exercise,Not all participants receive the same exercise,exactly one,each,B,inverse,number,universal,unimported,unimported,3
69,70.0,The instructor assigns exactly one exercise to each participant.,Not all participants receive the same exercise,All participants receive the same exercise,exactly one,each,A,inverse,number,universal,unimported,unimported,3
70,71.0,Exactly five flowers are planted in each pot.,All pots have the same five flowers,Not all pots have the same five flowers,exactly five,each,B,inverse,number,universal,unimported,unimported,3
71,72.0,Exactly five flowers are planted in each pot.,Not all pots have the same five flowers,All pots have the same five flowers,exactly five,each,A,inverse,number,universal,unimported,unimported,3
76,77.0,Exactly two pens are provided to each participant.,All participants receive the same two pens,Not all participants receive the same two pens,exactly two,each,B,inverse,number,universal,unimported,unimported,3
77,78.0,Exactly two pens are provided to each participant.,Not all participants receive the same two pens,All participants receive the same two pens,exactly two,each,A,inverse,number,universal,unimported,unimported,3
78,79.0,The instructor gives exactly one lesson to each class.,All classes receive the same lesson,Not all classes receive the same lesson,exactly one,each,B,inverse,number,universal,unimported,unimported,3
